43,43,43,43,43,43,43,43,43,03,04,04,04,04,04,04,05,43,43,43,43,43,43,43,43
43,43,43,43,43,43,03,04,04,36,12,12,12,12,12,12,35,04,04,04,04,05,43,43,43
43,43,43,43,03,04,36,00,01,01,02,12,12,12,12,00,01,01,01,01,02,35,05,43,43
43,43,43,43,11,00,01,15,09,09,10,12,12,12,12,08,09,09,09,09,14,02,13,43,43
43,43,03,04,36,08,09,09,06,17,18,27,20,20,28,16,17,07,09,09,09,10,13,43,43
43,03,36,00,01,15,09,06,18,27,20,21,43,43,19,20,28,16,07,09,09,10,35,05,43
43,11,12,08,09,09,06,18,27,21,43,43,24,25,25,26,19,28,08,09,09,14,02,13,43
43,11,12,08,09,09,10,27,21,43,24,25,31,33,33,34,43,11,16,07,09,09,10,13,43
43,11,12,08,09,09,10,13,43,24,31,33,33,33,33,30,26,19,28,08,09,09,10,13,43
43,19,28,08,09,09,10,13,43,32,33,33,33,33,33,33,34,43,11,08,09,09,10,13,43
43,43,11,16,07,09,10,13,43,32,33,33,33,33,33,22,42,43,11,08,09,09,10,13,43
43,03,36,00,15,09,10,35,05,40,23,33,33,33,33,34,43,03,36,08,09,09,10,13,43
43,11,12,08,09,09,10,12,13,43,40,23,33,22,41,42,43,11,00,15,09,09,10,13,43
43,11,12,08,09,09,14,02,35,04,05,40,41,42,43,43,03,36,08,09,09,09,10,13,43
03,36,12,08,09,09,09,14,02,12,13,43,43,43,43,03,36,00,15,09,09,09,10,13,43
11,12,00,15,09,09,06,17,18,12,13,43,03,04,04,36,00,15,09,09,09,06,18,35,05
11,12,08,09,06,17,18,12,12,27,21,43,11,00,01,01,15,09,09,09,09,10,12,12,13
11,12,16,17,18,12,12,27,20,21,43,43,11,16,07,06,17,17,07,06,17,18,12,12,13
19,28,12,12,12,27,20,21,43,43,43,43,19,28,16,18,27,28,16,18,27,28,12,27,21
43,19,20,20,20,21,43,43,43,43,43,43,43,19,20,20,21,19,20,20,21,19,20,21,43

-1,-1,-1,-1,-1,-1,-1,-1,-1,48,52,52,52,52,52,52,48,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,48,52,52,46,-1,-1,-1,-1,-1,-1,47,52,52,52,52,48,-1,-1,-1
-1,-1,-1,-1,48,52,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,48,-1,-1
-1,-1,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,-1,-1
-1,-1,48,52,46,-1,-1,-1,-1,-1,-1,45,53,53,44,-1,-1,-1,-1,-1,-1,-1,51,-1,-1
-1,48,46,-1,-1,-1,-1,-1,-1,45,53,48,-1,-1,48,53,44,-1,-1,-1,-1,-1,47,48,-1
-1,50,-1,-1,-1,-1,-1,-1,45,48,-1,-1,-1,-1,-1,-1,48,44,-1,-1,-1,-1,-1,51,-1
-1,50,-1,-1,-1,-1,-1,45,48,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,51,-1
-1,50,-1,-1,-1,-1,-1,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,44,-1,-1,-1,-1,51,-1
-1,48,44,-1,-1,-1,-1,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,51,-1
-1,-1,50,-1,-1,-1,-1,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,51,-1
-1,48,46,-1,-1,-1,-1,47,48,-1,-1,-1,-1,-1,-1,-1,-1,48,46,-1,-1,-1,-1,51,-1
-1,50,-1,-1,-1,-1,-1,-1,51,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,51,-1
-1,50,-1,-1,-1,-1,-1,-1,47,52,48,-1,-1,-1,-1,-1,48,46,-1,-1,-1,-1,-1,51,-1
48,46,-1,-1,-1,-1,-1,-1,-1,-1,51,-1,-1,-1,-1,48,46,-1,-1,-1,-1,-1,-1,51,-1
50,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,-1,48,52,52,46,-1,-1,-1,-1,-1,-1,-1,47,48
50,-1,-1,-1,-1,-1,-1,-1,-1,45,48,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51
50,-1,-1,-1,-1,-1,-1,45,53,48,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51
48,44,-1,-1,-1,45,53,48,-1,-1,-1,-1,48,44,-1,-1,45,44,-1,-1,45,44,-1,45,48
-1,48,53,53,53,48,-1,-1,-1,-1,-1,-1,-1,48,53,53,48,48,53,53,48,48,53,48,-1

